signature,Preferred contact method,Assessment Facilitator,The assessment was completed on,head_name,head_NHI,Last name,First name,NHI number,Title_form,Marital status,Gender,Address,Type of residence,Relationship to others in the household,Date of birth,Ethnicity,Preferred language,Interpreter required,Community services card ,CSC expiry date,Home phone,Mobile,Email,Work phone,Name of GP,GP’s phone number,Primary disability,Interim eligibility,Disability / Diagnosis details,Reason for assessment / referral to Taikura Trust,Residency status,ACC claimant,Case manager name,Other information (e.g. alternative name),Any reports to share please list them below,Client Details,This assessment belongs to,Alt_Last name,alt_First name,Alt_Address,Alt_Home phone,Alt_Email,Alt_Mobile,Alt_Work phone,Alt_Relationship to client,Alt_Date of birth,Fixed_alternative contact details,​​E_ Last name​ ,​​E_ First name​ ,​​E_ Address​,​​E_Home phone​ ,​​E_ Mobile​,​​E_ Email​,​​E_ Work phone​,​​E_ Relationship to client​,​​E_ Date of birth​,​​E_ Client’s legal representative,E_Living with parents / guardians​,​​E_ Preferred contact​,It is necessary to complete this assessment to identify my resources abilities goals and disability support needs.,I shall receive a copy of my assessment.,I have the right to see and correct any personal information kept about me.,The supply of information is voluntary.,If I do not supply information it may mean that my disability support needs will not be identified and assessed correctly which may result in the support services I need not being made available.,This assessment does not decide if I am eligible for government home based support or residential care.,Fixed_emergency contact details,consent for information,I Consent to,Taikura Trust using this information to help support my disability support needs (through service coordination).,Taikura Trust accessing my medical reports which clarify my disability and/or my health concerns.,Relevant information from my assessment being shared with MOH Health Professionals and/or my Service Provider to support my safety and well-being.,My assessment being stored by Taikura Trust.,A person or agency I do not want to receive or supply information is (please list):,Name of person completing assessment if not the disabled person,Relationship to disabled person,enter the date here,those present / those consulted,Assessment type,First contact date,needs assessment,Non verbal,Communication aids – gestures signs and computer,Read and write able to use phone,Receptive / expressive skills,Uses visual,Narrative:  (e.g. Understanding language clarity of speech etc.),Blind or nearly blind,Deaf or nearly deaf,Hearing impaired,Speech impaired,Vision impaired,Narrative:  (e.g. Tactile etc.),Driving,Getting up after a fall,Moving around inside home,Transfers e.g. wheelchair to car bed to chair,Using arms hands or fingers,Wheelchair user (inside / outside of home),Falling / history of falling,Moving around in the community,Moving around outside home,Two to one assistance for all transfers,Using transport as a passenger,mad_Narrative:,Garden / lawns,Laundry,Meal preparation,Administering personal finances e.g. banking or paying bills,Home safety e.g. locking doors safe appliance use,Operating home heating appliances fireplace etc.,Shopping for necessary items e.g. groceries,Other housework e.g. cleaning tidying vacuuming dishes rubbish disposal,Narrative:,Dressing and / or undressing,spc3_Faecal smearing,Managing / preventing health problems,Menstrual management,Night settling,Bed mobility e.g. rolling over getting out,Eating and drinking,Grooming and caring for body parts e.g. feet teeth hair nails etc.,Managing medication,Night Care – turning / changing positions,Toileting using toilet facilities,Spc_narrative,Faecal continence,Urinary continence,Harm to others,Motivation,Repetitive ,Self-harming,Socially inappropriate,Withdrawn,Mood and emotion e.g. anxiety depression unstable mood,Property damage,Routine,Sleep and night behaviour e.g. insomnia excessive sleep,Unsafe wandering,Attention e.g. concentration,Memory,Intellectual ability i.e. thinking understanding,Orientation e.g. to time of day place person,Learning ability i.e. acquiring skills of reading writing language calculating copying etc.,mc_narrative,Daily prompts,Needs 24 hour supervision,Some for safety,Additional information:,Community participation e.g. outings shopping local events,Cultural / spiritual support e.g. church Marae local cultural groups local iwi,Educational support e.g. RTLB MOE-SE Specialist Teachers,Family life e.g. social work support Strengthening Families Child Youth & Family,Meaningful day activity,Recreational activities e.g. sports clubs craft groups youth groups,Socialisation e.g. with peers friends family,Vocational support e.g. WINZ Community Employment Trusts Workbridge,Rs_narrative,Ghd1,Ghd2,Ghd3,Ghd4,ghps1,ghps2,ghps3,ghps4,hhm_Faecal smearing,CI1,CI2,CI3,CI4,CI5,Carers signature,CI_date,Cd_ Last name,cd_Address,cd_First name,CD_Relationship to client,CD_Date of birth,CD_Describe your health and wellbeing:,cd_Your commitments:,CD_Do you have any other concerns?,INCP1,INCP2,INCP3,INCP4,INN1,INN2,INN3,INN4,INW1,INW2,INW3,INW4,CTA,Disabled persons or representatives signature,CTA_date,CTA2,Assessment_facilitators_signature	,CTA2_date,Correspondence to,Post Address,By Email,Email address
"b85fcb24-e827-4bf4-925a-7a3399fd40c2.png",,,"9/12/2023 5:30 PM",,,,,"NHI_7654321",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,"67345862983",,,"4747676576",,,,,,"Yes",,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","f343aca1-5ecd-41e1-99d1-de553332fc3a.png",,,,,,,,,,,,,,,,,,,,,,"False","40a2e4e9-4562-497a-a74c-1850248ae37e.png",,"False","b1cd8042-1392-4270-851c-294f84213252.png",,,,"False",
"0cc75c98-ee6d-4393-bf71-c3cd38408468.png","Email","user1",,,,,,"nhi_777",,,,,,,,,"telugu","False",,,,,,,"gummdavelly",,,,,,,,,,,"Client Details",,,"mad",,,,,,,,"Alternative Contact Details",,,"3-72,gummadavelly",,,,,,,,"parents",,"Yes","No","No","No","No",,"emergency contact details","consent for information","I Consent to","Yes","Yes","Yes","No","nothing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","02ef1e84-304b-4208-87c8-35373033a6b9.png",,,,,,,,,,,,,,,,,,,,,,"False",,,"False",,,,,"False",
"397b07af-8cf6-485e-b93e-ff3a3eeee710.png","Email","madhu",,,,"chilukuri",,"nhi_987",,,,,,,,,,"True",,"9/12/2023 2:30 PM",,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,"Yes",,"Yes",,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,"Yes",,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","Yes","yes iam doing",,,,,"Yes","Yes",,,,,,,"Yes",,,,,,,,,"False","False","True","False","True","False","False","True","True","True","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"True","True","False",,"False","False","False","False","False","False","False","False",,"vipasana","certification",,,"running","preparing",,,,"True","False","False","False","False","00544caa-6a82-4826-958a-550869c3ac35.png",,,,,,,,,,,,,,,,,,,,,,"False","a6686b8d-7998-4bd0-b7d5-0a61e35a7bd5.png",,"True","c678bb64-8742-4200-9be6-cc472fbfb721.png",,,"3-72,gummadavelly","True","chilukuri@gmail.com"
"b39a96e7-0236-41bf-9186-5117df87ae85.png","Home phone",,,,"test_1",,,"test_1",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","d78b250e-d707-418e-af2c-3d3bb775faf5.png",,,,,,,,,,,,,,,,,,,,,,"False","1b947f37-c84f-48ec-aff4-2446ae82246e.png",,"False","4646c462-23ed-415a-b12e-3af90e3d06a7.png",,,,"False",
"e92e23db-e529-4fdf-b500-c61e17e5609d.png",,,,,,,,"test_2",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","4ecec58f-b045-4560-8b03-301915d71cd3.png",,,,,,,,,,,,,,,,,,,,,,"False","30dd41eb-fbd4-4d6d-9b61-9db177368af9.png",,"False","e236e360-556a-4bf2-851d-61dae42ca52e.png",,,,"False",
"b8a95023-d8e0-459a-aee0-3330c134f693.png",,,,,,,,"test3",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","5711dc64-eea3-41e8-bf98-38409ca25b65.png",,,,,,,,,,,,,,,,,,,,,,"False","321e9798-4ec8-4453-ad7d-9488cda6ff59.png",,"False","af3662b5-b837-4282-b354-fc5d838f3d38.png",,,,"False",
"6d2e7282-d71e-497e-8886-3317aafe9813.png",,,,,,,,"test_4",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","d05fffd2-b144-4771-945a-0d58177bedb7.png",,,,,,,,,,,,,,,,,,,,,,"False","2fe123ce-49b0-4387-bca4-0d8102d56047.png",,"False","9ff3a321-ce0b-4063-9b56-3c70f0d1a6c5.png",,,,"False",
"2b043fb4-70a5-4600-91fd-3f86dc6f378b.png",,,,,,,,"Test_5",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","ad2dab89-c9c1-4511-b486-ebdff443f74c.png",,,,,,,,,,,,,,,,,,,,,,"False","c3aa388d-8761-4cc8-8d45-070098fec8c7.png",,"False","94f96a5f-58e8-427b-922e-1aeb2bd9ea1d.png",,,,"False",
"bbe4616e-23b4-4742-86f3-1f65ea9cf0fe.png",,,,,,,,"NHI_6",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","81e7a69b-8edf-4266-8172-206d147ef77c.png",,,,,,,,,,,,,,,,,,,,,,"False","8e8807b2-c2d4-4826-8018-ee9d50389018.png",,"False","b8b28228-cbf9-45d0-b39a-4d4cf98cc35d.png",,,,"False",
"ae775695-f5b4-4d63-9b83-fb5c40509eb7.png",,,,,,,,"test7",,,,,,,,,,"False",,,,,,,,,,,,,,,,,,"Client Details",,,,,,,,,,,"Alternative Contact Details",,,,,,,,,,,,,,,,,,,"I.e. for X to be supported to explore options; to have a break, to be independent in 
personal cares,
 to manage household tasks, to understand/manage behaviours.","consent for information","I Consent to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False",,"False","False","False","False","False","False","False","False",,,,,,,,,,,"False","False","False","False","False","6a773ebd-c3e5-4943-8915-0924947f268d.png",,,,,,,,,,,,,,,,,,,,,,"False","2f6e691f-e7aa-4582-a2af-f20f78f33d60.png",,"False","8fd128a8-ecb9-4466-bba9-2c04ed138560.png",,,,"False",
